/m/07yv9	1007002	vehicle	n04524313	noun.artifact:a conveyance that transports people or objects
/m/0jjw	757499	art	n02743547	noun.artifact:the products of human creativity; works of art collectively
/m/0c9ph5	723262	flower	n11669921	noun.plant:a plant cultivated for its blooms or blossoms
/m/01g317	645689	person	n00007846	noun.Tops:a human being
/m/05s2s	574895	plant	v01567275	verb.contact:put or set (seeds, seedlings, or plants) into the ground
/m/07j7r	571348	tree	n13104059	noun.plant:a tall perennial woody plant having a main trunk and branches forming a distinct elevated crown; includes both gymnosperms and angiosperms
/m/09g5pq	463801	people	n07942152	noun.group:(plural) any group of human beings (men or women or children) collectively
/m/02wbm	456241	food	n00021265	noun.Tops:any substance that can be metabolized by an animal to give energy and build tissue
/m/0jbk	435075	animal	n00015388	noun.Tops:a living organism characterized by voluntary movement
/m/06npx	432137	sea	n09426788	noun.object:a division of an ocean or a large body of salt water partially enclosed by land
/m/01g6gs	384532	black-and-white	a02666952	adj.pert:lacking hue or shades of grey; part white and part black
/m/016nqd	384355	shape	n05064037	noun.attribute:any spatial attributes (especially as defined by outline)
/m/09t49	382878	leaf	n13152742	noun.plant:the main organ of photosynthesis and transpiration in higher plants
/m/06ntj	375474	sports	n00523513	noun.act:an active diversion requiring physical exertion and competition
/m/02cqfm	375032	close-up	not exist	
/m/03d49p1	373568	monochrome photography	n02846399	noun.artifact:a black-and-white photograph or slide
/m/01mwkf	370968	monochrome	n03783304	noun.artifact:painting done in a range of tones of a single color
/m/01v728	351268	land plant	non exist	
/m/03bmqb	345984	flora	n08436759	noun.group:all the plant life in a particular region or period
/m/036qh8	345694	produce	v01621555	verb.creation:create or manufacture a man-made product
/m/03nfmq	341475	architecture	n06123363	noun.cognition:the discipline dealing with the principles of design and construction and ornamentation of fine buildings
/m/01x314	340014	facade	n03313333	noun.artifact:the face or front of a building
/m/035qhg	338649	fauna	n07993279	noun.group:all the animal life in a particular region or period
/m/0cgh4	336640	building	n00911048	noun.act:the act of constructing something
/m/04sjm	335740	flowering plant	n11665372	noun.plant:plants having seeds in a closed ovary
/m/0k4j	330722	automobile	n02958343	noun.artifact:a motor vehicle with four wheels; usually propelled by an internal combustion engine
/m/083vt	329275	wood	n15098161	noun.substance:the hard fibrous lignified substance under the bark of trees
/m/05h0n	322584	nature	n09366762	noun.object:the natural physical world including plants and animals and landscapes etc.
/m/04k84	321028	light	n11473954	noun.phenomenon:(physics) electromagnetic radiation that can produce a visual sensation
/m/019sc6	319811	lighting	n00378479	noun.act:the act of setting something on fire
/m/01prls	314627	land vehicle	n04524313	noun.artifact:a conveyance that transports people or objects
/m/01n32	313978	city	n08524735	noun.location:a large and densely populated urban area; may include several independent administrative districts
/m/02cwm	309873	design	v01638368	verb.creation:make or work out a plan for; devise
/m/05wkw	309838	photography	n00903559	noun.act:the act of taking and printing photographs
/m/039jbq	308703	urban area	n08675967	noun.location:a geographical area constituting a city or town
