/m/07yv9	1007002	vehicle	n04524313,n06255081,n15112086,n09283193
/m/0jjw	757499	art	n02743547,n00933420,n05638987,n06998748
/m/0c9ph5	723262	flower	n11669921,n11669335,n15295045,v00294245
/m/01g317	645689	person	n00007846,n05217688,n06326797
/m/05s2s	574895	plant	n03956922,n00017222,n10438470,n05906080,v01567275,v01528821,v01647229,v02322810,v01371201,v00734790
/m/07j7r	571348	tree	n13104059,n13912260,n11348160,v01934205,v01616293,v01145163,v00319111
/m/09g5pq	463801	people	n07942152,n08160276,n07971141,n08180190,v00451461,v02650840
/m/02wbm	456241	food	n00021265,n07555863,n05811214
/m/0jbk	435075	animal	n00015388,s01778572
/m/06npx	432137	sea	n09426788,n13776971,n11521404
/m/01g6gs	384532	black-and-white	a02666952,a00394331,s02480317
/m/016nqd	384355	shape	n05064037,n00027807,n05217168,n05941210,n04677514,n14546227,n08174167,n05930736,v00701040,v01659248,v00142191
/m/09t49	382878	leaf	n13152742,n06256229,n03652226,v02153023,v02089837,v00095747
/m/06ntj	375474	sports	n00523513,n00433216,n10639238,n10639047,n10638922,n10341660,n06780882,v02631659,v01883716
/m/02cqfm	375032	close-up	not exist
/m/03d49p1	373568	monochrome photography	n03783304,n02846399,s00398816,n00903559,n13536794,n00620554
/m/01mwkf	370968	monochrome	n03783304,n02846399,s00398816
/m/01v728	351268	land plant	n13250048,n09335240,n08556491,n09334396,n08544813,n14514805,n13246662,n08166552,n08168978,n11115558,n00453731,v01979901,v01981036,v00135857,v02087156,v02358527,v01981436,v01981279,n03956922,n00017222,n10438470,n05906080,v01567275,v01528821,v01647229,v02322810,v01371201,v00734790
/m/03bmqb	345984	flora	n08436759,n00017222
/m/036qh8	345694	produce	n07705711,v01752495,v01621555,v01752884,v02141146,v01739814,v02157100,v00094460
/m/03nfmq	341475	architecture	n02734725,n06123363,n00610738,n04932278
/m/01x314	340014	facade	n03313333,n06758698
/m/035qhg	338649	fauna	n07993279,n00015388
/m/0cgh4	336640	building	n02913152,n00911048,n01104637,n07973241,v01654628,v00252990,v01655505,v00447158,v02443424,v01739099,v01685601,v00637115,v00253277,v00226882
/m/04sjm	335740	flowering plant	n11665372
/m/0k4j	330722	automobile	n02958343,v01930738
/m/083vt	329275	wood	n15098161,n08438533,n11395895,n11395773,n11395609,n11395466,n04598582,n04597066
/m/05h0n	322584	nature	n04726724,n09503682,n09366762,n04623113,n05840431
/m/04k84	321028	light	n11473954,n03665366,n06210791,n05018103,n08646188,n14563784,n04951373,n10276659,n13983304,n05807933,n04953380,n05612706,n09184668,n06874019,n03666591,v00291873,v01199881,v01978700,v02759614,v02229828,v01958452,a01186408,a00408660,a01193046,a01190993,a01190316,a00269989,s02320442,s01182414,s00503527,s01906464,s01192393,s00712186,a01191876,a01191448,s02544525,s02414188,s02401863,s02337329,s02165318,s02121572,s02121424,s01188186,s00993117,s00693570,s00361837,r00390941
/m/019sc6	319811	lighting	n13983304,n03667235,n00608645,n00378479,v00291873,v01199881,v01978700,v02759614,v02229828,v01958452
/m/01prls	314627	land vehicle	n13250048,n09335240,n08556491,n09334396,n08544813,n14514805,n13246662,n08166552,n08168978,n11115558,n00453731,v01979901,v01981036,v00135857,v02087156,v02358527,v01981436,v01981279,n04524313,n06255081,n15112086,n09283193
/m/01n32	313978	city	n08524735,n08540903,n08226335
/m/02cwm	309873	design	n00928077,n05728678,n05902327,n03178782,n05982152,n03179318,n05633385,v01638368,v00709625,v01640550,v01639714,v01753596,v01633825,v00698572
/m/05wkw	309838	photography	n00903559,n13536794,n00620554
/m/039jbq	308703	urban area	n08675967
/m/01bwr	305162	botany	n08436759,n06066555
/m/0krfg	300079	meal	n07573696,n15245990,n07567707
/m/01sdr	296520	color	n04956594,n05193338,n04988478,n07968354,n04677952,n14984973,n05844663,n04674968,v00283911,v00836926,v02537092,v01696648,v00837133,v00281101,a00394135
/m/03rbf6	296426	macro photography	n06586886,s01388928,n00903559,n13536794,n00620554
/m/09qqq	292098	wall	n04546855,n09474162,n05604254,n14564779,n09474412,n04547821,n04547592,n04051825,v01130607
/m/02l215	291295	reflection	n05785508,n11503060,n06880249,n04747115,n04068976,n13785404,n06767035,n05010627
/m/07bsy	285700	transport	n03100490,n13570236,n01105259,n13986372,n04392764,n00315986,v01953810,v01449974,v01817314,v01950798,v01435380
/m/06z0n	284058	sunlight	n11485367
/m/01kyr8	283238	darkness	n13983515,n08646306,n14563564,n05988498,n04979870,n04978216
/m/038hg	281779	green	n04967191,n08615374,n11013324,n10060904,n09294066,n08579780,n07709333,n03606572,v00521478,s00375969,a03069937,a01493897,s02545257,s02272485
/m/01bqvp	281264	sky	n09436708,v01512625
/m/01lxd	279838	coast	n09428293,n09248153,n05934029,n00328502,v01886728
/m/01l7t2	277826	downtown	n08539072,a02494716,r00187852
/m/088fh	274593	yellow	n04965661,v00289840,s00385756,s00265314,s01640729,s02101942,s01228370,s01177556
/m/05_5t0l	274313	landmark	n08624891,n07417851,n07259319,n05230357
/m/019sc	274055	black	n04960277,n13983807,n10852130,n10851987,n09636339,n02846260,n02846141,v00280532,a00392812,a00241952,s00114797,s01229561,s01131935,s01050088,s00396296,s00274068,s02079507,s01706341,s01402580,s01227546,s00756897,s00421002
/m/09d_r	269325	mountain	n09359803,n13774404
/m/04mx32	268800	evening	n15166462,n15268094,n15167906,v01307142,v00416880,v00416705
/m/0djmp	265803	ancient history	n06514529,n05612531
/m/06gfj	264407	road	n04096066,n00174003
